metro_area_name,population,income,cbsa_code,taskrabbit_active,dolly_active,goshare_active,lugg_active,total_competitors,lugg_status,market_attractiveness,competition_opportunity,expansion_score,estimated_annual_revenue,data_source
"McAllen-Edinburg-Mission, TX Metro Area",873167.0,49371.0,32580.0,0,0,0,0,0,Expansion Target,48.155763239875384,100.0,68.89345794392523,524000.0,uncovered_opportunity
"Rochester, NY Metro Area",1086859.0,71349.0,40380.0,0,0,1,0,1,Expansion Target,64.74143302180684,75.0,68.8448598130841,652000.0,competitor_mapped
"Lansing-East Lansing, MI Metro Area",538985.0,68270.0,29620.0,0,0,0,0,0,Expansion Target,47.968847352024916,100.0,68.78130841121495,323000.0,uncovered_opportunity
"Boise City, ID Metro Area",771602.0,78138.0,14260.0,0,0,1,0,1,Expansion Target,64.54205607476635,75.0,68.7252336448598,463000.0,competitor_mapped
"Kahului-Wailuku-Lahaina, HI Metro Area",164765.0,95379.0,27980.0,0,0,0,0,0,Expansion Target,47.570093457943926,100.0,68.54205607476635,99000.0,uncovered_opportunity
"Lexington-Fayette, KY Metro Area",515954.0,68089.0,30460.0,0,0,0,0,0,Expansion Target,47.56386292834891,100.0,68.53831775700934,310000.0,uncovered_opportunity
"Vallejo, CA Metro Area",450995.0,97037.0,46700.0,0,0,1,0,1,Expansion Target,63.93769470404985,75.0,68.36261682242991,271000.0,competitor_mapped
"Green Bay, WI Metro Area",328011.0,74208.0,24580.0,0,0,0,0,0,Expansion Target,47.115264797507784,100.0,68.26915887850467,197000.0,uncovered_opportunity
"Augusta-Richmond County, GA-SC Metro Area",612898.0,62941.0,12260.0,0,0,0,0,0,Expansion Target,47.034267912772584,100.0,68.22056074766355,368000.0,uncovered_opportunity
"Salem, OR Metro Area",433415.0,72154.0,41420.0,0,0,0,0,0,Expansion Target,46.928348909657316,100.0,68.15700934579439,260000.0,uncovered_opportunity
"Cedar Rapids, IA Metro Area",275693.0,75477.0,16300.0,0,0,0,0,0,Expansion Target,46.772585669781925,100.0,68.06355140186915,165000.0,uncovered_opportunity
"Midland, TX Metro Area",174621.0,89345.0,33260.0,0,0,0,0,0,Expansion Target,46.66666666666667,100.0,68.0,105000.0,uncovered_opportunity
"North Port-Sarasota-Bradenton, FL Metro Area",844461.0,74469.0,35840.0,0,0,1,0,1,Expansion Target,62.704049844236756,75.0,67.62242990654205,507000.0,competitor_mapped
"Scranton--Wilkes-Barre, PA Metro Area",567287.0,62318.0,42540.0,0,0,0,0,0,Expansion Target,45.8816199376947,100.0,67.52897196261682,340000.0,uncovered_opportunity
"Napa, CA Metro Area",137384.0,105809.0,34900.0,0,0,0,0,0,Expansion Target,45.82554517133956,100.0,67.49532710280374,82000.0,uncovered_opportunity
"Appleton, WI Metro Area",242972.0,79958.0,11540.0,0,0,0,0,0,Expansion Target,45.70093457943925,100.0,67.42056074766354,146000.0,uncovered_opportunity
"Santa Maria-Santa Barbara, CA Metro Area",445213.0,92332.0,42200.0,0,0,1,0,1,Expansion Target,62.286604361370706,75.0,67.37196261682243,267000.0,competitor_mapped
"Bend, OR Metro Area",199352.0,82042.0,13460.0,0,0,0,0,0,Expansion Target,45.32710280373831,100.0,67.19626168224299,120000.0,uncovered_opportunity
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2668688.0,76177.0,16740.0,0,1,1,0,2,Expansion Target,78.48909657320873,50.0,67.09345794392524,1601000.0,competitor_mapped
"Hagerstown-Martinsburg, MD-WV Metro Area",295165.0,72751.0,25180.0,0,0,0,0,0,Expansion Target,44.311526479750775,100.0,66.58691588785047,177000.0,uncovered_opportunity
"Birmingham-Hoover, AL Metro Area",1114368.0,68329.0,13820.0,0,0,1,0,1,Expansion Target,60.940809968847354,75.0,66.56448598130841,669000.0,competitor_mapped
"Columbus, OH Metro Area",2137223.0,76541.0,18140.0,0,1,1,0,2,Expansion Target,77.46105919003115,50.0,66.47663551401868,1282000.0,competitor_mapped
"Savannah, GA Metro Area",406575.0,70705.0,42340.0,0,0,0,0,0,Expansion Target,44.0,100.0,66.4,244000.0,uncovered_opportunity
"Fargo, ND-MN Metro Area",251635.0,73641.0,22020.0,0,0,0,0,0,Expansion Target,43.96884735202492,100.0,66.38130841121495,151000.0,uncovered_opportunity
"California-Lexington Park, MD Metro Area",113814.0,113668.0,15680.0,0,0,0,0,0,Expansion Target,43.707165109034264,100.0,66.22429906542055,68000.0,uncovered_opportunity
"Buffalo-Cheektowaga, NY Metro Area",1163462.0,67638.0,15380.0,0,0,1,0,1,Expansion Target,60.348909657320874,75.0,66.20934579439253,698000.0,competitor_mapped
"Atlantic City-Hammonton, NJ Metro Area",274339.0,73113.0,12100.0,0,0,0,0,0,Expansion Target,43.376947040498436,100.0,66.02616822429906,165000.0,uncovered_opportunity
"Concord, NH Micro Area",153918.0,88806.0,18180.0,0,0,0,0,0,Expansion Target,43.14641744548287,100.0,65.88785046728972,92000.0,uncovered_opportunity
"Bellingham, WA Metro Area",226523.0,77581.0,13380.0,0,0,0,0,0,Expansion Target,43.084112149532714,100.0,65.85046728971963,136000.0,uncovered_opportunity
"Fayetteville, NC Metro Area",522537.0,57488.0,22180.0,0,0,0,0,0,Expansion Target,42.48598130841122,100.0,65.49158878504673,314000.0,uncovered_opportunity
"Lincoln, NE Metro Area",339707.0,70899.0,30700.0,0,0,0,0,0,Expansion Target,42.41121495327103,100.0,65.44672897196261,204000.0,uncovered_opportunity
"Youngstown-Warren-Boardman, OH-PA Metro Area",540328.0,54650.0,49660.0,0,0,0,0,0,Expansion Target,42.33021806853582,100.0,65.39813084112149,324000.0,uncovered_opportunity
"Detroit-Warren-Dearborn, MI Metro Area",4375604.0,72456.0,19820.0,0,1,1,0,2,Expansion Target,75.21806853582555,50.0,65.13084112149534,2625000.0,competitor_mapped
"Tulsa, OK Metro Area",1017724.0,65784.0,46140.0,0,0,1,0,1,Expansion Target,58.54205607476636,75.0,65.1252336448598,611000.0,competitor_mapped
"Reno, NV Metro Area",490769.0,81576.0,39900.0,0,0,1,0,1,Expansion Target,58.0809968847352,75.0,64.84859813084111,294000.0,competitor_mapped
"East Stroudsburg, PA Metro Area",168128.0,80656.0,20700.0,0,0,0,0,0,Expansion Target,40.93457943925233,100.0,64.5607476635514,101000.0,uncovered_opportunity
"Modesto, CA Metro Area",552063.0,74872.0,33700.0,0,0,1,0,1,Expansion Target,57.59501557632399,75.0,64.5570093457944,331000.0,competitor_mapped
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1798025.0,77082.0,47260.0,1,0,1,0,2,Expansion Target,73.99376947040498,50.0,64.396261682243,1079000.0,competitor_mapped
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3678328.0,94673.0,33460.0,1,1,1,0,3,Expansion Target,90.32710280373831,25.0,64.19626168224298,2207000.0,competitor_mapped
"San Luis Obispo-Paso Robles, CA Metro Area",281712.0,90158.0,42020.0,0,0,1,0,1,Expansion Target,56.86604361370716,75.0,64.1196261682243,169000.0,competitor_mapped
"Kingston, NY Metro Area",182153.0,77197.0,28740.0,0,0,0,0,0,Expansion Target,39.65732087227414,100.0,63.79439252336448,109000.0,uncovered_opportunity
"Lebanon, NH-VT Micro Area",221463.0,74152.0,30100.0,0,0,0,0,0,Expansion Target,39.09657320872274,100.0,63.45794392523364,133000.0,uncovered_opportunity
"Huntsville, AL Metro Area",493980.0,78521.0,26620.0,0,0,1,0,1,Expansion Target,55.61993769470404,75.0,63.37196261682242,296000.0,competitor_mapped
"Naples-Marco Island, FL Metro Area",380221.0,82011.0,34940.0,0,0,1,0,1,Expansion Target,55.52647975077881,75.0,63.315887850467284,228000.0,competitor_mapped
"Gainesville, GA Metro Area",204953.0,74153.0,23580.0,0,0,0,0,0,Expansion Target,38.56697819314641,100.0,63.140186915887845,123000.0,uncovered_opportunity
"Hilo, HI Micro Area",202163.0,74238.0,25900.0,0,0,0,0,0,Expansion Target,38.535825545171335,100.0,63.1214953271028,121000.0,uncovered_opportunity
"Bismarck, ND Metro Area",133467.0,81846.0,13900.0,0,0,0,0,0,Expansion Target,38.099688473520246,100.0,62.85981308411215,80000.0,uncovered_opportunity
"Mount Vernon-Anacortes, WA Metro Area",129480.0,82029.0,34580.0,0,0,0,0,0,Expansion Target,38.06853582554517,100.0,62.8411214953271,78000.0,uncovered_opportunity
"Bozeman, MT Micro Area",119685.0,83434.0,14580.0,0,0,0,0,0,Expansion Target,37.943925233644855,100.0,62.76635514018692,72000.0,uncovered_opportunity
"Baton Rouge, LA Metro Area",869755.0,67979.0,12940.0,0,0,1,0,1,Expansion Target,54.168224299065415,75.0,62.500934579439246,522000.0,competitor_mapped
"Warner Robins, GA Metro Area",192171.0,73788.0,47580.0,0,0,0,0,0,Expansion Target,37.35202492211838,100.0,62.41121495327103,115000.0,uncovered_opportunity
"Winchester, VA-WV Metro Area",143385.0,79416.0,49020.0,0,0,0,0,0,Expansion Target,37.28971962616822,100.0,62.373831775700936,86000.0,uncovered_opportunity
"Greenville-Anderson, SC Metro Area",931405.0,66226.0,24860.0,0,0,1,0,1,Expansion Target,53.88785046728972,75.0,62.33271028037383,559000.0,competitor_mapped
"Knoxville, TN Metro Area",884359.0,66715.0,28940.0,0,0,1,0,1,Expansion Target,53.545171339563865,75.0,62.12710280373832,531000.0,competitor_mapped
"Bloomington, IL Metro Area",171284.0,75356.0,14010.0,0,0,0,0,0,Expansion Target,36.7601246105919,100.0,62.05607476635514,103000.0,uncovered_opportunity
"Cape Coral-Fort Myers, FL Metro Area",772902.0,69368.0,15980.0,0,0,1,0,1,Expansion Target,53.202492211838006,75.0,61.921495327102804,464000.0,competitor_mapped
"Jacksonville, FL Metro Area",1613587.0,73194.0,27260.0,1,0,1,0,2,Expansion Target,69.4766355140187,50.0,61.685981308411215,968000.0,competitor_mapped
"Albuquerque, NM Metro Area",915968.0,63971.0,10740.0,0,0,1,0,1,Expansion Target,52.704049844236756,75.0,61.62242990654205,550000.0,competitor_mapped
"Bakersfield, CA Metro Area",906883.0,63883.0,12540.0,0,0,1,0,1,Expansion Target,52.454828660436135,75.0,61.472897196261684,544000.0,competitor_mapped
"Springfield, IL Metro Area",208406.0,72445.0,44100.0,0,0,0,0,0,Expansion Target,35.73208722741433,100.0,61.439252336448604,125000.0,uncovered_opportunity
"Dayton-Kettering, OH Metro Area",812506.0,67088.0,19430.0,0,0,1,0,1,Expansion Target,52.33021806853583,75.0,61.3981308411215,488000.0,competitor_mapped
"Racine, WI Metro Area",197068.0,72658.0,39540.0,0,0,0,0,0,Expansion Target,35.45171339563863,100.0,61.271028037383175,118000.0,uncovered_opportunity
"Akron, OH Metro Area",700578.0,68647.0,10420.0,0,0,1,0,1,Expansion Target,51.98753894080997,75.0,61.19252336448598,420000.0,competitor_mapped
"Glenwood Springs, CO Micro Area",79008.0,86831.0,24060.0,0,0,0,0,0,Expansion Target,35.29595015576324,100.0,61.177570093457945,47000.0,uncovered_opportunity
"Edwards, CO Micro Area",55650.0,98887.0,20780.0,0,0,0,0,0,Expansion Target,35.26479750778816,100.0,61.1588785046729,33000.0,uncovered_opportunity
"Kapaa, HI Micro Area",73511.0,88869.0,28180.0,0,0,0,0,0,Expansion Target,34.98442367601246,100.0,60.99065420560748,44000.0,uncovered_opportunity
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3194310.0,67197.0,45300.0,0,1,1,0,2,Expansion Target,68.14641744548287,50.0,60.88785046728972,1917000.0,competitor_mapped
"Oak Harbor, WA Micro Area",86510.0,82850.0,36020.0,0,0,0,0,0,Expansion Target,34.76635514018692,100.0,60.85981308411215,52000.0,uncovered_opportunity
"Billings, MT Metro Area",185147.0,72377.0,13740.0,0,0,0,0,0,Expansion Target,34.23676012461059,100.0,60.54205607476635,111000.0,uncovered_opportunity
"Columbia, SC Metro Area",831913.0,63471.0,17900.0,0,0,1,0,1,Expansion Target,50.80373831775701,75.0,60.4822429906542,499000.0,competitor_mapped
"Fairbanks, AK Metro Area",96299.0,81655.0,21820.0,0,0,0,0,0,Expansion Target,34.0809968847352,100.0,60.44859813084112,58000.0,uncovered_opportunity
"Iowa City, IA Metro Area",175894.0,72680.0,26980.0,0,0,0,0,0,Expansion Target,33.83177570093458,100.0,60.29906542056075,106000.0,uncovered_opportunity
"St. George, UT Metro Area",183297.0,71976.0,41100.0,0,0,0,0,0,Expansion Target,33.8006230529595,100.0,60.280373831775705,110000.0,uncovered_opportunity
"Gettysburg, PA Metro Area",104604.0,78975.0,23900.0,0,0,0,0,0,Expansion Target,33.23987538940809,100.0,59.943925233644855,63000.0,uncovered_opportunity
"Truckee-Grass Valley, CA Micro Area",102322.0,79395.0,46020.0,0,0,0,0,0,Expansion Target,33.14641744548287,100.0,59.887850467289724,61000.0,uncovered_opportunity
"Idaho Falls, ID Metro Area",158478.0,73337.0,26820.0,0,0,0,0,0,Expansion Target,33.021806853582554,100.0,59.81308411214953,95000.0,uncovered_opportunity
"Gillette, WY Micro Area",60985.0,88151.0,23940.0,0,0,0,0,0,Expansion Target,32.77258566978193,100.0,59.66355140186916,37000.0,uncovered_opportunity
"Rochester, MN Metro Area",225911.0,86788.0,40340.0,0,0,1,0,1,Expansion Target,49.37694704049844,75.0,59.626168224299064,136000.0,competitor_mapped
"Traverse City, MI Micro Area",153733.0,73845.0,45900.0,0,0,0,0,0,Expansion Target,32.61682242990654,100.0,59.570093457943926,92000.0,uncovered_opportunity
"Jefferson, GA Micro Area",77033.0,82056.0,27600.0,0,0,0,0,0,Expansion Target,32.492211838006234,100.0,59.49532710280374,46000.0,uncovered_opportunity
"Little Rock-North Little Rock-Conway, AR Metro Area",749290.0,62664.0,30780.0,0,0,1,0,1,Expansion Target,49.09034267912773,75.0,59.45420560747664,450000.0,competitor_mapped
"Jackson, WY-ID Micro Area",35159.0,102435.0,27220.0,0,0,0,0,0,Expansion Target,32.398753894081,100.0,59.4392523364486,21000.0,uncovered_opportunity
"Coeur d'Alene, ID Metro Area",173396.0,71949.0,17660.0,0,0,0,0,0,Expansion Target,32.30529595015577,100.0,59.38317757009346,104000.0,uncovered_opportunity
"Wichita, KS Metro Area",646794.0,66643.0,48620.0,0,0,1,0,1,Expansion Target,48.93457943925233,75.0,59.36074766355139,388000.0,competitor_mapped
"Raleigh-Cary, NC Metro Area",1420825.0,91818.0,39580.0,1,1,1,0,3,Expansion Target,82.18691588785046,25.0,59.31214953271027,852000.0,competitor_mapped
"Charlottesville, VA Metro Area",221648.0,86188.0,16820.0,0,0,1,0,1,Expansion Target,48.78504672897196,75.0,59.271028037383175,133000.0,competitor_mapped
"Elko, NV Micro Area",55222.0,87631.0,21220.0,0,0,0,0,0,Expansion Target,31.744548286604363,100.0,59.04672897196262,33000.0,uncovered_opportunity
"Pinehurst-Southern Pines, NC Micro Area",100759.0,77981.0,38240.0,0,0,0,0,0,Expansion Target,31.495327102803735,100.0,58.89719626168224,60000.0,uncovered_opportunity
"Pensacola-Ferry Pass-Brent, FL Metro Area",510290.0,69374.0,37860.0,0,0,1,0,1,Expansion Target,48.155763239875384,75.0,58.89345794392523,306000.0,competitor_mapped
"Greensboro-High Point, NC Metro Area",775169.0,59567.0,24660.0,0,0,1,0,1,Expansion Target,48.124610591900314,75.0,58.87476635514019,465000.0,competitor_mapped
"Breckenridge, CO Micro Area",30955.0,100611.0,14720.0,0,0,0,0,0,Expansion Target,31.43302180685358,100.0,58.85981308411215,19000.0,uncovered_opportunity
"Key West, FL Micro Area",82044.0,80111.0,28580.0,0,0,0,0,0,Expansion Target,31.401869158878505,100.0,58.8411214953271,49000.0,uncovered_opportunity
"Charleston-North Charleston, SC Metro Area",803398.0,77460.0,16700.0,1,0,1,0,2,Expansion Target,64.6043613707165,50.0,58.7626168224299,482000.0,competitor_mapped
"Holland, MI Micro Area",120189.0,75543.0,26090.0,0,0,0,0,0,Expansion Target,31.183800623052957,100.0,58.71028037383177,72000.0,uncovered_opportunity
"Salisbury, MD-DE Metro Area",421982.0,72964.0,41540.0,0,0,1,0,1,Expansion Target,47.8006230529595,75.0,58.6803738317757,253000.0,competitor_mapped
"Wenatchee, WA Metro Area",122265.0,75185.0,48300.0,0,0,0,0,0,Expansion Target,31.028037383177566,100.0,58.616822429906534,73000.0,uncovered_opportunity
"Wausau-Weston, WI Metro Area",166222.0,71675.0,48140.0,0,0,0,0,0,Expansion Target,30.996884735202492,100.0,58.598130841121495,100000.0,uncovered_opportunity
"Monroe, MI Metro Area",154823.0,72573.0,33780.0,0,0,0,0,0,Expansion Target,30.8411214953271,100.0,58.50467289719626,93000.0,uncovered_opportunity
"Juneau, AK Micro Area",32108.0,95711.0,27940.0,0,0,0,0,0,Expansion Target,30.841121495327105,100.0,58.50467289719626,19000.0,uncovered_opportunity
"Los Alamos, NM Micro Area",19253.0,135801.0,31060.0,0,0,0,0,0,Expansion Target,30.685358255451714,100.0,58.41121495327103,12000.0,uncovered_opportunity
"Chattanooga, TN-GA Metro Area",564466.0,65387.0,16860.0,0,0,1,0,1,Expansion Target,47.034267912772584,75.0,58.220560747663555,339000.0,competitor_mapped
"Winston-Salem, NC Metro Area",678243.0,60145.0,49180.0,0,0,1,0,1,Expansion Target,47.0031152647975,75.0,58.201869158878495,407000.0,competitor_mapped
"Gardnerville Ranchos, NV Micro Area",49476.0,84262.0,23820.0,0,0,0,0,0,Expansion Target,30.155763239875387,100.0,58.09345794392523,30000.0,uncovered_opportunity
"Cheyenne, WY Metro Area",100316.0,76282.0,16940.0,0,0,0,0,0,Expansion Target,30.12461059190031,100.0,58.074766355140184,60000.0,uncovered_opportunity
"Chambersburg-Waynesboro, PA Metro Area",156084.0,71808.0,16540.0,0,0,0,0,0,Expansion Target,30.031152647975077,100.0,58.018691588785046,94000.0,uncovered_opportunity
"Hudson, NY Micro Area",61469.0,81741.0,26460.0,0,0,0,0,0,Expansion Target,29.906542056074763,100.0,57.94392523364486,37000.0,uncovered_opportunity
"Whitewater, WI Micro Area",105127.0,75172.0,48580.0,0,0,0,0,0,Expansion Target,29.84423676012461,100.0,57.90654205607477,63000.0,uncovered_opportunity
"Toledo, OH Metro Area",644547.0,61620.0,45780.0,0,0,1,0,1,Expansion Target,46.442367601246104,75.0,57.865420560747665,387000.0,competitor_mapped
"Kansas City, MO-KS Metro Area",2190750.0,78827.0,28140.0,1,1,1,0,3,Expansion Target,79.76635514018692,25.0,57.85981308411215,1314000.0,competitor_mapped
"Yuba City, CA Metro Area",180806.0,70176.0,49700.0,0,0,0,0,0,Expansion Target,29.750778816199375,100.0,57.850467289719624,108000.0,uncovered_opportunity
"Crestview-Fort Walton Beach-Destin, FL Metro Area",288639.0,74279.0,18880.0,0,0,1,0,1,Expansion Target,46.36760124610592,75.0,57.82056074766355,173000.0,competitor_mapped
"Lebanon, PA Metro Area",143258.0,72532.0,30140.0,0,0,0,0,0,Expansion Target,29.563862928348907,100.0,57.73831775700934,86000.0,uncovered_opportunity
"Laconia, NH Micro Area",63914.0,80719.0,29060.0,0,0,0,0,0,Expansion Target,29.50155763239875,100.0,57.70093457943925,38000.0,uncovered_opportunity
"Steamboat Springs, CO Micro Area",24944.0,95144.0,44460.0,0,0,0,0,0,Expansion Target,29.40809968847352,100.0,57.64485981308411,15000.0,uncovered_opportunity
"Watertown-Fort Atkinson, WI Micro Area",85932.0,77018.0,48020.0,0,0,0,0,0,Expansion Target,29.190031152647972,100.0,57.51401869158878,52000.0,uncovered_opportunity
"Durango, CO Micro Area",55983.0,81936.0,20420.0,0,0,0,0,0,Expansion Target,29.158878504672895,100.0,57.495327102803735,34000.0,uncovered_opportunity
"Louisville/Jefferson County, KY-IN Metro Area",1282588.0,69771.0,31140.0,1,0,1,0,2,Expansion Target,62.467289719626166,50.0,57.4803738317757,770000.0,competitor_mapped
"Janesville-Beloit, WI Metro Area",163817.0,70630.0,27500.0,0,0,0,0,0,Expansion Target,28.909657320872274,100.0,57.34579439252336,98000.0,uncovered_opportunity
"Williston, ND Micro Area",39076.0,86139.0,48780.0,0,0,0,0,0,Expansion Target,28.81619937694704,100.0,57.28971962616822,23000.0,uncovered_opportunity
"Logan, UT-ID Metro Area",148804.0,71739.0,30860.0,0,0,0,0,0,Expansion Target,28.753894080996883,100.0,57.25233644859813,89000.0,uncovered_opportunity
"Minot, ND Micro Area",77140.0,78112.0,33500.0,0,0,0,0,0,Expansion Target,28.722741433021806,100.0,57.23364485981308,46000.0,uncovered_opportunity
"Odessa, TX Metro Area",162300.0,70566.0,36220.0,0,0,0,0,0,Expansion Target,28.66043613707165,100.0,57.19626168224299,97000.0,uncovered_opportunity
"Granbury, TX Micro Area",62459.0,80013.0,24180.0,0,0,0,0,0,Expansion Target,28.66043613707165,100.0,57.19626168224299,37000.0,uncovered_opportunity
"Oklahoma City, OK Metro Area",1428923.0,67963.0,36420.0,1,0,1,0,2,Expansion Target,61.96884735202492,50.0,57.18130841121495,857000.0,competitor_mapped
"Jackson, MS Metro Area",591397.0,60085.0,27140.0,0,0,1,0,1,Expansion Target,45.258566978193144,75.0,57.15514018691589,355000.0,competitor_mapped
"Columbus, IN Metro Area",82371.0,76912.0,18020.0,0,0,0,0,0,Expansion Target,28.47352024922118,100.0,57.08411214953271,49000.0,uncovered_opportunity
"Eau Claire, WI Metro Area",171951.0,70009.0,20740.0,0,0,0,0,0,Expansion Target,28.22429906542056,100.0,56.93457943925233,103000.0,uncovered_opportunity
"Vineyard Haven, MA Micro Area",20543.0,93225.0,47240.0,0,0,0,0,0,Expansion Target,28.22429906542056,100.0,56.93457943925233,12000.0,uncovered_opportunity
"St. Louis, MO-IL Metro Area",2813523.0,75316.0,41180.0,1,1,1,0,3,Expansion Target,78.14641744548285,25.0,56.88785046728971,1688000.0,competitor_mapped
"Oshkosh-Neenah, WI Metro Area",171197.0,70041.0,36780.0,0,0,0,0,0,Expansion Target,28.099688473520246,100.0,56.85981308411215,103000.0,uncovered_opportunity
